"","Gender","Age","Education_level","Employment_status","Income_group","Country","Household_members_number","Number_vehicles_household","Leisure_trips_number","Plan_to_purchase_vehicle","buy_electric"
"1614","F",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",4,4,"Don’t know/no answer",FALSE
"1615","F",33,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,1,"Yes, in the next 12 months",TRUE
"1616","F",36,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,1,"Yes, in the next 6 months",FALSE
"1617","F",45,"Tertiary and higher (University degree or PhD)","Unemployed","middle","Bulgaria","four",2,5,"Yes, in the next 6 months",TRUE
"1618","F",42,"Tertiary and higher (University degree or PhD)","I prefer not to answer","I prefer not to answer","Bulgaria","more than five",1,0,"No",TRUE
"1619","F",51,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,1,"Yes, in the next 12 months",FALSE
"1620","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,15,"Yes, in the next 2 years",TRUE
"1621","M",43,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",1,3,"Yes, in the next 2 years",TRUE
"1622","F",55,"Tertiary and higher (University degree or PhD)","Unemployed","middle","Bulgaria","two",1,0,"Yes, in the next 12 months",TRUE
"1623","F",55,"Upper secondary (high school)","Full time employed","I prefer not to answer","Bulgaria","two",0,5,"Yes, in the next 12 months",FALSE
"1624","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",1,4,"No",TRUE
"1625","M",44,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",1,0,"Yes, in the next 2 years",FALSE
"1626","M",44,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","five",4,0,"Yes, in the next 2 years",FALSE
"1627","F",42,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","two",1,0,"Yes, in the next 2 years",FALSE
"1628","F",24,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",2,10,"Yes, in the next 12 months",FALSE
"1629","M",20,"Upper secondary (high school)","Studying","middle","Bulgaria","two",1,2,"No",TRUE
"1630","F",56,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","two",2,0,"Yes, in the next 2 years",FALSE
"1631","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","low","Bulgaria","five",1,1,"Yes, in the next 6 months",FALSE
"1632","F",52,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",2,1,"No",FALSE
"1633","M",48,"Upper secondary (high school)","Full time employed","middle","Bulgaria","one (myself)",2,4,"No",TRUE
"1634","M",33,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",1,2,"Don’t know/no answer",FALSE
"1635","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","one (myself)",1,0,"No",TRUE
"1636","F",35,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","three",1,5,"Yes, in the next 12 months",TRUE
"1637","F",26,"Tertiary and higher (University degree or PhD)","I prefer not to answer","middle","Bulgaria","three",4,3,"No",FALSE
"1638","F",44,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","four",2,3,"Yes, in the next 12 months",FALSE
"1639","M",58,"Upper secondary (high school)","Full time employed","I prefer not to answer","Bulgaria","two",1,0,"No",TRUE
"1640","F",64,"Upper secondary (high school)","Retired","middle","Bulgaria","two",1,0,"Don’t know/no answer",FALSE
"1641","F",34,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",3,2,"Don’t know/no answer",FALSE
"1642","M",51,"Upper secondary (high school)","Part time employed","low","Bulgaria","one (myself)",0,0,"No",FALSE
"1643","M",42,"Upper secondary (high school)","Part time employed","lower middle","Bulgaria","four",1,3,"No",TRUE
"1644","F",29,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",2,1,"Yes, in the next 12 months",FALSE
"1645","M",40,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,8,"Yes, in the next 2 years",FALSE
"1646","M",27,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,5,"Yes, in the next 12 months",FALSE
"1647","F",30,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","four",1,6,"Yes, in the next 12 months",TRUE
"1648","F",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,0,"Don’t know/no answer",TRUE
"1649","M",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",3,10,"Yes, in the next 2 years",TRUE
"1650","F",35,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,5,"Don’t know/no answer",FALSE
"1651","M",45,"Upper secondary (high school)","Full time employed","middle","Bulgaria","two",2,2,"Yes, in the next 2 years",TRUE
"1652","F",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","five",2,2,"No",FALSE
"1653","M",24,"Upper secondary (high school)","Studying","middle","Bulgaria","three",1,0,"Yes, in the next 2 years",TRUE
"1654","M",26,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",2,1,"Yes, in the next 12 months",TRUE
"1655","M",43,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","two",2,1,"Yes, in the next 6 months",FALSE
"1656","F",57,"Upper secondary (high school)","Full time employed","middle","Bulgaria","more than five",2,3,"Don’t know/no answer",TRUE
"1657","M",23,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","five",1,3,"Yes, in the next 6 months",FALSE
"1658","M",40,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","five",1,2,"No",FALSE
"1659","M",57,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","two",1,0,"Yes, in the next 2 years",FALSE
"1660","F",30,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,5,"Yes, in the next 12 months",FALSE
"1661","F",43,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,2,"Yes, in the next 2 years",TRUE
"1662","F",26,"Upper secondary (high school)","Other","lower middle","Bulgaria","four",4,3,"Yes, in the next 6 months",TRUE
"1663","M",27,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,10,"Yes, in the next 12 months",TRUE
"1664","F",38,"Upper secondary (high school)","Unemployed","middle","Bulgaria","two",1,1,"Don’t know/no answer",FALSE
"1665","F",37,"Upper secondary (high school)","Full time employed","I prefer not to answer","Bulgaria","two",2,5,"No",FALSE
"1666","F",29,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,7,"Yes, in the next 12 months",TRUE
"1667","M",38,"Upper secondary (high school)","Full time employed","middle","Bulgaria","four",1,0,"Yes, in the next 2 years",FALSE
"1668","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",2,0,"Yes, in the next 6 months",TRUE
"1669","F",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,3,"Yes, in the next 6 months",FALSE
"1670","M",45,"Upper secondary (high school)","Full time employed","middle","Bulgaria","four",1,3,"Yes, in the next 12 months",FALSE
"1671","F",53,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",0,1,"Yes, in the next 2 years",FALSE
"1672","M",44,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","four",2,3,"Yes, in the next 2 years",FALSE
"1673","F",42,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,2,"Yes, in the next 2 years",FALSE
"1674","M",33,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","two",0,0,"Yes, in the next 6 months",FALSE
"1675","M",58,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",4,12,"Yes, in the next 2 years",TRUE
"1676","M",44,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",2,0,"No",FALSE
"1677","F",41,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",1,1,"Yes, in the next 12 months",FALSE
"1678","M",29,"Upper secondary (high school)","Unemployed","lower middle","Bulgaria","four",1,1,"Don’t know/no answer",FALSE
"1679","M",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",1,34,"Yes, in the next 6 months",FALSE
"1680","F",27,"Tertiary and higher (University degree or PhD)","Studying","lower middle","Bulgaria","three",2,1,"Yes, in the next 2 years",FALSE
"1681","M",53,"Tertiary and higher (University degree or PhD)","I prefer not to answer","I prefer not to answer","Bulgaria","I prefer not to answer",3,20,"Yes, in the next 2 years",TRUE
"1682","M",43,"Upper secondary (high school)","Retired","middle","Bulgaria","four",2,1,"No",TRUE
"1683","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,2,"Yes, in the next 2 years",TRUE
"1684","M",30,"Upper secondary (high school)","Full time employed","middle","Bulgaria","more than five",2,2,"No",FALSE
"1685","M",41,"Upper secondary (high school)","Other","middle","Bulgaria","two",1,0,"Yes, in the next 2 years",TRUE
"1686","F",42,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,2,"Yes, in the next 2 years",FALSE
"1687","M",31,"Tertiary and higher (University degree or PhD)","Full time employed","high","Bulgaria","three",1,1,"Yes, in the next 2 years",TRUE
"1688","M",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,2,"Yes, in the next 2 years",TRUE
"1689","F",26,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Bulgaria","two",1,1,"Yes, in the next 12 months",TRUE
"1690","F",26,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,5,"Yes, in the next 12 months",FALSE
"1691","M",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,5,"Yes, in the next 6 months",FALSE
"1692","F",43,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",1,6,"No",TRUE
"1693","F",42,"Upper secondary (high school)","Full time employed","middle","Bulgaria","two",1,2,"Yes, in the next 12 months",TRUE
"1694","F",27,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,1,"Yes, in the next 2 years",FALSE
"1695","M",35,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","four",2,1,"No",TRUE
"1696","M",38,"Upper secondary (high school)","Part time employed","lower middle","Bulgaria","four",1,5,"Yes, in the next 6 months",FALSE
"1697","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,4,"Yes, in the next 6 months",FALSE
"1698","M",47,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","two",1,4,"Yes, in the next 2 years",TRUE
"1699","F",49,"Upper secondary (high school)","Full time employed","middle","Bulgaria","one (myself)",0,5,"No",TRUE
"1700","F",26,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","one (myself)",0,10,"No",FALSE
"1701","F",18,"Upper secondary (high school)","Studying","middle","Bulgaria","four",2,3,"Yes, in the next 2 years",FALSE
"1702","M",19,"Upper secondary (high school)","Studying","middle","Bulgaria","three",1,0,"Yes, in the next 6 months",FALSE
"1703","M",49,"Tertiary and higher (University degree or PhD)","Unemployed","middle","Bulgaria","three",1,3,"Don’t know/no answer",FALSE
"1704","M",47,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Bulgaria","three",2,5,"No",TRUE
"1705","M",23,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",1,30,"Yes, in the next 2 years",FALSE
"1706","F",46,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",2,1,"No",FALSE
"1707","F",23,"Upper secondary (high school)","Full time employed","I prefer not to answer","Bulgaria","three",3,0,"Don’t know/no answer",FALSE
"1708","F",53,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Bulgaria","two",1,0,"Yes, in the next 2 years",FALSE
"1709","M",45,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Bulgaria","two",1,2,"Yes, in the next 6 months",TRUE
"1710","M",25,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",1,1,"No",FALSE
"1711","M",49,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","four",1,0,"No",FALSE
"1712","M",46,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,0,"Yes, in the next 2 years",TRUE
"1713","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,0,"Yes, in the next 2 years",TRUE
"1714","M",50,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","one (myself)",2,0,"No",TRUE
"1715","F",31,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",1,0,"No",TRUE
"1716","M",50,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,1,"Yes, in the next 12 months",FALSE
"1717","F",47,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","two",2,3,"Yes, in the next 12 months",FALSE
"1718","F",36,"Tertiary and higher (University degree or PhD)","Full time employed","high","Bulgaria","two",1,2,"Yes, in the next 2 years",FALSE
"1719","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","I prefer not to answer","Bulgaria","one (myself)",1,0,"Yes, in the next 2 years",TRUE
"1720","F",53,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,2,"Yes, in the next 2 years",FALSE
"1721","M",52,"Tertiary and higher (University degree or PhD)","Full time employed","high","Bulgaria","two",1,1,"No",TRUE
"1722","F",32,"Upper secondary (high school)","Full time employed","middle","Bulgaria","two",1,2,"Yes, in the next 2 years",FALSE
"1723","M",19,"Upper secondary (high school)","Part time employed","middle","Bulgaria","three",2,2,"Don’t know/no answer",TRUE
"1724","F",49,"Tertiary and higher (University degree or PhD)","Other","middle","Bulgaria","three",3,1,"Yes, in the next 2 years",FALSE
"1725","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","two",1,10,"No",TRUE
"1726","M",28,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,1,"No",FALSE
"1727","F",45,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,1,"Don’t know/no answer",TRUE
"1728","F",52,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",2,2,"Yes, in the next 6 months",TRUE
"1729","F",53,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,2,"No",TRUE
"1730","F",55,"Upper secondary (high school)","Full time employed","middle","Bulgaria","two",1,3,"No",TRUE
"1731","F",43,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",3,0,"No",FALSE
"1732","F",45,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",1,3,"Yes, in the next 12 months",FALSE
"1733","F",40,"Upper secondary (high school)","Part time employed","middle","Bulgaria","four",1,2,"No",FALSE
"1734","M",47,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,3,"Don’t know/no answer",FALSE
"1735","M",46,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",2,2,"Don’t know/no answer",TRUE
"1736","M",26,"Tertiary and higher (University degree or PhD)","Studying","lower middle","Bulgaria","three",1,15,"Yes, in the next 2 years",FALSE
"1737","M",48,"Tertiary and higher (University degree or PhD)","I prefer not to answer","higher middle","Bulgaria","four",1,20,"Yes, in the next 6 months",FALSE
"1738","F",45,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","four",3,1,"No",FALSE
"1739","F",34,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","more than five",2,1,"No",FALSE
"1740","F",51,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","three",2,7,"Yes, in the next 12 months",FALSE
"1741","M",58,"Upper secondary (high school)","Other","middle","Bulgaria","two",4,0,"Yes, in the next 12 months",FALSE
"1742","F",33,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",1,2,"Yes, in the next 2 years",TRUE
"1743","F",47,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",2,2,"No",FALSE
"1744","M",19,"Lower secondary (upper elementary school)","Studying","middle","Bulgaria","three",2,3,"No",TRUE
"1745","M",24,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,2,"Yes, in the next 2 years",FALSE
"1746","M",46,"Upper secondary (high school)","Full time employed","middle","Bulgaria","two",2,2,"Yes, in the next 12 months",FALSE
"1747","F",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",1,2,"Yes, in the next 2 years",FALSE
"1748","F",47,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Bulgaria","three",3,0,"Yes, in the next 6 months",FALSE
"1749","F",25,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",2,0,"Yes, in the next 12 months",FALSE
"1750","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","four",1,2,"Don’t know/no answer",FALSE
"1751","M",21,"Tertiary and higher (University degree or PhD)","Full time employed","high","Bulgaria","three",3,1,"Yes, in the next 12 months",TRUE
"1752","M",60,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,0,"No",TRUE
"1753","F",55,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",2,6,"Yes, in the next 2 years",TRUE
"1754","M",47,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,5,"No",TRUE
"1755","F",24,"Tertiary and higher (University degree or PhD)","Studying","middle","Bulgaria","four",1,2,"Yes, in the next 12 months",FALSE
"1756","M",46,"Upper secondary (high school)","Full time employed","middle","Bulgaria","five",1,2,"Yes, in the next 12 months",TRUE
"1757","M",34,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",1,12,"Yes, in the next 2 years",TRUE
"1758","M",60,"Tertiary and higher (University degree or PhD)","Retired","middle","Bulgaria","three",2,40,"No",FALSE
"1759","M",62,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","four",1,5,"No",FALSE
"1760","M",34,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",2,15,"Don’t know/no answer",TRUE
"1761","M",23,"Upper secondary (high school)","Studying","middle","Bulgaria","three",1,4,"Yes, in the next 2 years",FALSE
"1762","M",47,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",3,1,"Yes, in the next 6 months",FALSE
"1763","M",61,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",1,4,"No",TRUE
"1764","F",39,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","three",1,0,"Yes, in the next 2 years",FALSE
"1765","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,5,"No",FALSE
"1766","F",49,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",2,1,"No",TRUE
"1767","M",56,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",2,6,"Yes, in the next 2 years",FALSE
"1768","M",25,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",1,2,"Yes, in the next 12 months",FALSE
"1769","F",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,4,"No",TRUE
"1770","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","one (myself)",1,3,"Yes, in the next 2 years",FALSE
"1771","F",60,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,10,"Yes, in the next 2 years",TRUE
"1772","M",26,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,5,"Yes, in the next 12 months",FALSE
"1773","F",51,"Upper secondary (high school)","Unemployed","middle","Bulgaria","four",3,0,"No",TRUE
"1774","F",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","five",2,4,"Yes, in the next 2 years",FALSE
"1775","M",22,"Upper secondary (high school)","Full time employed","higher middle","Bulgaria","three",1,1,"Yes, in the next 2 years",TRUE
"1776","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,3,"Yes, in the next 2 years",FALSE
"1777","F",42,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","five",3,2,"No",FALSE
"1778","M",29,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,3,"Yes, in the next 2 years",FALSE
"1779","M",49,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",1,0,"Yes, in the next 12 months",TRUE
"1780","F",18,"Upper secondary (high school)","Studying","middle","Bulgaria","four",2,3,"Yes, in the next 12 months",FALSE
"1781","M",63,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","two",3,3,"Yes, in the next 2 years",FALSE
"1782","M",62,"Tertiary and higher (University degree or PhD)","Retired","middle","Bulgaria","one (myself)",1,4,"Yes, in the next 2 years",TRUE
"1783","M",25,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","more than five",4,7,"Yes, in the next 12 months",FALSE
"1784","M",64,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,4,"No",FALSE
"1785","M",65,"Upper secondary (high school)","Retired","middle","Bulgaria","two",1,12,"Yes, in the next 2 years",TRUE
"1786","M",33,"Upper secondary (high school)","Part time employed","low","Bulgaria","one (myself)",2,1,"Yes, in the next 2 years",FALSE
"1787","M",64,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,4,"Don’t know/no answer",FALSE
"1788","F",47,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","four",1,2,"No",FALSE
"1789","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,1,"Don’t know/no answer",TRUE
"1790","M",65,"Lower secondary (upper elementary school)","Full time employed","middle","Bulgaria","two",1,0,"No",FALSE
"1791","F",58,"Upper secondary (high school)","Unemployed","low","Bulgaria","two",1,1,"No",FALSE
"1792","F",50,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","five",2,3,"Yes, in the next 12 months",FALSE
"1793","M",30,"Tertiary and higher (University degree or PhD)","Part time employed","lower middle","Bulgaria","two",1,5,"Yes, in the next 6 months",TRUE
"1794","M",45,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",1,1,"No",FALSE
"1795","F",54,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",1,1,"Yes, in the next 12 months",FALSE
"1796","F",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,5,"No",FALSE
"1797","M",27,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",4,12,"Yes, in the next 12 months",TRUE
"1798","M",65,"Tertiary and higher (University degree or PhD)","Retired","lower middle","Bulgaria","two",1,0,"No",TRUE
"1799","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",3,1,"Yes, in the next 2 years",FALSE
"1800","F",46,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,1,"No",FALSE
"1801","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","one (myself)",1,2,"Yes, in the next 2 years",TRUE
"1802","F",40,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","four",2,2,"Yes, in the next 6 months",FALSE
"1803","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","two",2,3,"Yes, in the next 6 months",FALSE
"1804","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",1,10,"No",TRUE
"1805","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,2,"Yes, in the next 6 months",TRUE
"1806","F",58,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","two",1,1,"Yes, in the next 12 months",TRUE
"1807","F",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,20,"Yes, in the next 12 months",FALSE
"1808","M",31,"Upper secondary (high school)","Full time employed","higher middle","Bulgaria","two",1,10,"Yes, in the next 2 years",FALSE
"1809","M",32,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","three",3,4,"Yes, in the next 6 months",FALSE
"1810","M",41,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",2,2,"Yes, in the next 2 years",FALSE
"1811","F",47,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",1,1,"Yes, in the next 2 years",FALSE
"1812","M",48,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","three",2,15,"Yes, in the next 2 years",FALSE
"1813","F",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,10,"Yes, in the next 2 years",TRUE
"1814","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","four",1,4,"Yes, in the next 6 months",FALSE
"1815","M",36,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,1,"Yes, in the next 6 months",FALSE
"1816","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",2,10,"No",TRUE
"1817","F",22,"Upper secondary (high school)","Studying","higher middle","Bulgaria","five",4,5,"No",TRUE
"1818","F",49,"Upper secondary (high school)","Full time employed","middle","Bulgaria","one (myself)",1,0,"Yes, in the next 2 years",TRUE
"1819","F",27,"Tertiary and higher (University degree or PhD)","Unemployed","middle","Bulgaria","four",3,4,"No",TRUE
"1820","M",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,2,"Yes, in the next 2 years",TRUE
"1821","F",46,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",4,3,"Yes, in the next 12 months",FALSE
"1822","F",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",1,7,"Yes, in the next 12 months",TRUE
"1823","F",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",3,4,"Yes, in the next 6 months",FALSE
"1824","M",51,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","four",1,6,"Yes, in the next 12 months",TRUE
"1825","F",42,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","three",1,5,"Yes, in the next 12 months",FALSE
"1826","F",51,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",3,0,"No",TRUE
"1827","M",45,"Upper secondary (high school)","Full time employed","middle","Bulgaria","three",2,2,"Don’t know/no answer",TRUE
"1828","F",40,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,3,"Don’t know/no answer",FALSE
"1829","M",49,"Upper secondary (high school)","Full time employed","lower middle","Bulgaria","three",1,1,"No",FALSE
"1830","M",34,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Bulgaria","five",2,3,"No",FALSE
"1831","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","two",2,12,"Yes, in the next 2 years",TRUE
"1832","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Bulgaria","two",1,9,"No",FALSE
"1833","F",33,"Upper secondary (high school)","Part time employed","middle","Bulgaria","three",1,8,"No",FALSE
"1834","F",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Bulgaria","three",1,3,"Yes, in the next 6 months",FALSE
